address,total_block_reward,lock_hash,mainnet_token_reward
ckt1q9gry5zgvkprd780vqhlspq8gq5j0engkvwaqj350nxwq8,2424335796838416,0xc9a17778b99b59067af358390da31f4de29ea669e93d19b199948ee4a1f51c40,468919
ckt1q9gry5zgj5qxtpa9zx5gtwr9wuelzcf5skz9upjjrpp3kw,1592073477289413,0x16dd15cda822e307771621a1edc6d8a2dbf52299a690a38a35db1a1cbe0147b0,307941
ckt1q9gry5zgrtjfnf34emdw8uv7q8tmln3jscljv20y4skprh,1075827268047660,0x84bfdeece74a8cc44c608f435e769dad89cf8a62a3ba5f3c3374138c7f98a76e,208088
ckt1q9gry5zgulknfcehkfz369kr3nd85z9765g5cdgjvefvdn,885881155093363,0xb33f2f3e04296c11a50401f750f5b7bff1be838138891865de1fdc493269bec1,171348
ckt1q9gry5zgjs97qlzc46sygk2sd08e73t2xn8tztx669ujhy,811294887374977,0x91290300d8fd464b4665d66ded88eecd54ac2d9ae5694f3a844c4e804055f6be,156922
ckt1q9gry5zgfg6x29ak0zpfm44kfduhz9l9c0d7guwrmp9dy3,620929915010940,0xe1f513efa0f26d35870676497c6d2b44b3f2c05dab7a04ce76684e601797e9b8,120101
ckt1q9gry5zgxe6hguajz2mdstxuznrg4gj97elpymk4cnz52c,525792056176432,0x5f760cb0ebb6251f3cba589e683e6fd1eff91e43783172a7911b979c905e59cb,101699
ckt1q9gry5zgqqq6e3ch6epyaeh0mkzwp3d7lw8yf2yulvvjtk,421903570813213,0xe06adc6d64a649414a29a92413ad091b826eb84ac235056988dd0ab8daa7559c,81605
ckt1q9gry5zgdtduqtvkgvj0swlhzhea9hygxg4g4hwvqs4rxg,364773734959053,0x8f73a48072b291d14d04f1b38d2d4261dc70bc1f0366f3d57c461333019e4cf4,70555
ckt1q9gry5zggw7l7dmzv3xl62ksknkfyvr7pz5u44tvmwmj60,333982521540050,0x3be86dac8422b99feaa00ff53977769766bccf8551d5f4769db3a0041d30c964,64599
ckt1q9gry5zg3uqqwsychfg2d8dv38p3yzdnj8x8lf5hwrvr92,230854782860192,0xf56f5a363810672f092511280913cced139dd79e49540ed010d8e50e40490c04,44652
ckt1q9gry5zgxjxdk0khy55yfp4jkmd85ltx5dap3awqsxj44z,149104376843895,0x6806914ad238223cc357221e0356b788c30a371bdfa313c55fc928dc41ea41c0,28840
ckt1q9gry5zg8hnxux5qn2fqvkq73l7zv6k6kex5jw6d5dpwg3,147461651218912,0x0c5c809a79340cd42d17c8262b7b0a0d3616f5f4a5d2b73dc7372405522ed523,28522
ckt1q9gry5zgz9g969hdlan7zkpnplhe4lp9xz9cu9epf2afwp,112794386315391,0x05d929c0e83656a110ef5efffb28f136dd6e0eca154060436c6965797b50adec,21816
ckt1q9gry5zgaxqw54l5g22qtrzfzdcf7n53j9r6aq9p4gedz0,43545966235809,0x67e1bd8cf994fb7db0b13ec57d363819c08688d7d96ce933089c8de17b416d4d,8422
ckt1q9gry5zgxq6u0jxqr6enlpnulmdk4hq4tgs972hyh2zsh7,32594161625489,0x6bebaa5e9d0ced21f42bbbcea63a21fd60c8a176f5a346b2b2a5140ee8a790da,6304
ckt1q9gry5zg3rfmguaw6v6d9p3c7c2ma4rpftjunucmqevlkt,31790883966075,0x70d351af8b5fd01a140192b69cd833420e3bf68ecc2207702601fd58cd537ab7,6149
ckt1q9gry5zgmahervyg6m70fwtfpcf5jdat8k96pzryueq75f,30852407614059,0x3c24e7b050112f82bbd65aef9779649d0bf35e29ad53963dc63e111678fed47a,5967
ckt1q9gry5zgmjg3an5ftz5wvwff0dmtmy8f0q9md57h4pn35g,28416690751945,0x18e9476bf3dd579bfbf55ceb8de0af3340435328b95f619e62508b5de6a6573d,5496
ckt1q9gry5zgcfutwt6c3hxtuyrs0mjtsjrwmxg85wr3hrtcsn,26180841710238,0xe13ed48aa7f25150d36aa9f972c1881e433569ae47bbc848868abef66543b55e,5063
ckt1q9gry5zg5aywzxc99xa9zcpuswf799m8qp2mjfuul35fpw,25019381356760,0xb018541bd0b9620affa3c65387453c03ebe7c7443b634589382706407878eb41,4839
ckt1q9gry5zg27xvqskvy72jrqztukrharlgdc2ttvjmzusc6z,22802027733286,0x39c35008aee5b894acbb4a803b9ea44164f27b4b99673d6e4021307b023e235b,4410
ckt1q9gry5zgmfjggskmku68u3nar5ya5yl9e5aqau8pgv7hen,21572192793034,0xa430e37ac773c6c9c0b3dc44330a39fda04b6c703ea218ec26e6622375c58dd8,4172
ckt1q9gry5zgumakwak3hjlq9g6hd839938dyh8ay5ccmwar8s,20382213550651,0x368738be9872b946eee5661329083da4fab916bb589a959b555c71fe8a768882,3942
ckt1q9gry5zgwdnqqvrdf4ruj4a34lf34sac8vu2mfkndc4uxu,17924229444541,0x8dbf53a7f60bf7797cc6209a7eba627634f2f14d2b930e92a1f098f97362645e,3466
ckt1q9gry5zg3465f25u7wtkxcuksq8ka2nkvkrc0w8020dzax,16686710859538,0x89376d7611f71cf71fcf2f1fbbb9bcf5ad93edb2746e8db4042c7e916dcbc6ea,3227
ckt1q9gry5zgk7f65c4282kkcy5zqlh7cejmrawqatdfh4ewxd,14825297714464,0xbf354ae932c1e47e1c0fffae085d7f30bab14fd4dd054059ac673755e81af189,2867
ckt1q9gry5zgjgd3hckyt877cn7htsnxsgrzq3egnqwr6sadp7,14724686291991,0x73fefe01924b2fb9c6aa0db46ae903ec34062dd73ebab1266d09f8282506e529,2848
ckt1q9gry5zgm7fd8u9wz4v0yfra8ea7ht60jykleyqru6z5c5,14684780231781,0x94c8af0cd842ab34a37d36e11a7136df1b02e5e5c45b3fa5fd7d92ef4efe82cf,2840
ckt1q9gry5zgqtyck4wt9adtqtwcuhqguvmh32hu8vft5xcr9e,14220020048817,0xead4821ab9f8b4515b0e0f2982bf74b490342a74c703a259fb37c83f7945a199,2750
ckt1q9gry5zgn5ecepvj24qjyfcq808e9prdkqtsuwxfzz4pym,12576603588075,0x10ccd574f94f2a6b8b6976a520d56de5c480606ea11e2a666be46c25416982e5,2432
ckt1q9gry5zg3ceme3gtpzukvf4wq77emz9zmv28cjv8sgvef0,11414521293613,0x4ba75875b48bf071bd19c49983832629926e11c72e84a3fea9f5964ecd7c134a,2207
ckt1q9gry5zg97fme45jpsgxmftxwjndcql3t64w7fxvahsql3,9905907728259,0x80841fa8e1ff1aa3f22a0ca95a5d5be38ccec64f51ac4bb05964ec52a4fe1c58,1916
ckt1q9gry5zgkj9uk5aksk0puv3dr60qp7rg60ghk4c0dpvk83,9283816086662,0x40bbef7c066056068edf083b4207337535c7e926d820209f671833d6fcbdec96,1795
ckt1q9gry5zgy24vhvrf35uh3aqtaqzwcmkpttg29arnazlys7,9165132042665,0xd37ade1e9cb62ad676cb57587d929e56332598a583f53c45a282eadbb2fe74cb,1772
ckt1q9gry5zg4plac7eqe2dp9y2mskfe8qg0krunp0gc3apk3m,9153933226312,0xb771af9e96c35d72e6b7cd8835369411ac12abec9e938926e388aca4351149d8,1770
ckt1q9gry5zg0kr9sz65rwep64tq8n66du6vj59s6xrxlplyu8,9085016599379,0x133a6b97872703a302a545f3813629dea0a2ef63c2af7f3be981ee602cc5b0f5,1757
ckt1q9gry5zgchvsjh95xzane9395sfg6qlp77dvmk86j9564w,8851990970693,0xb77ed4c03a89454321590fe4259e7aaf488ea1d8afc7edf602928f45dd7c96c2,1712
ckt1q9gry5zg3majfvvzj2rcyddg6jgkhq69525nh08uxu9wg5,8163758769641,0xae18a00006fb885dec989910e8f89afd547fbb7c0bd571252a4fa109059a1b7a,1579
ckt1q9gry5zg30thde6pzcl5jzqusck80zenangw055qsjlzxs,7988417335064,0xf31ba7e0594f6fd3ddcf67b32aea79c629cfaa77840be2cced1b88e26b9cdecb,1545
ckt1q9gry5zg28tnpawtg9tann0cqs2m8jaaas8tf4vx6tcpgd,7677148688690,0x1eff49911361aea9ce45e1b8e4003c0654220f8c5ed512980c53468a04a0fd96,1484
ckt1q9gry5zgw232dxswlc46r7pl25xlpusrr56umrc6yxyhkq,6835022095867,0x60e82242d246ab0ab43bcd4211f2aa5b05dd33c51b37f282fae82eda9cccfa2d,1322
ckt1q9gry5zgvq5anym02clxt3dm4p7e9nt683lg4pyjpafwf5,5858264087500,0x8ac5bd17440a06112005a0cf701864ed08bc2335d09419adc4ea47ed970811aa,1133
ckt1q9gry5zgzax7z6gkkm8gmq7wcr86txdvp52ekyvts9jeza,5775821387718,0x58f86269d7e8324f7a5c5519f146ce68a995524b03e96ec8dd44c835d3ec6b7a,1117
ckt1q9gry5zgtw2ahczgxsf330pmzu7hq5lryl96j0z2235asv,4969503471604,0x2d5c070d8d218e885ed66332c6b9817c851dff3b9cebb152f6873c67f3084fc8,961
ckt1q9gry5zghj88xva8akxlycd8frf6jp36ql7dqzwq5xpkhp,4785098272446,0xddb80063ac9adb59f0976ca652e5b9d483b5691c12204a60adf903c550579d9c,925
ckt1q9gry5zglf4wzfps4mh5j80qlhgaem904v2f3atku60c45,4433295888293,0x2cf0fc44ea017633b774538f40ad2c9f56056806ae1a83213fb82eea7673a484,857
ckt1q9gry5zgj4sdagwvwq3dct7mclaaafvnkpj9977fguu589,4043925340602,0xc439ff3c050ae96abbccd03114e5f024b13b554b3968e6197ac5c8b6ce69cc75,782
ckt1q9gry5zgd886yup3qqpptj4a8ctqhhmne9jrv0auw4y4y8,3929167072058,0x4e43b4ddea831ef4e0c45c2d524937bcc005922c40c33cb39c662c96d302c306,759
ckt1q9gry5zga3ad8jejqjcvdjf739k76uj47vzvxmh83xmjtp,3772899290951,0xf2067273de51de6316d7ea72f5e9f451cb2dda30f7abad4cb1095feb0f17cd99,729
ckt1q9gry5zg2wsx5sdv0t9kj2759nkh0yv9p2s7v2ql7lns6w,3674389910982,0x7d04a133d0b9142a89241312a0a0e571b430e9ff6e93e6ff2379c29879fb3329,710
ckt1q9gry5zgswh5t6pkt5duzj33qa3u648jhhe4cxe23g6k8x,3555841855571,0x0162f50af8964be1504df0e4197d253731068ad1aa1ca10af7762c2a16364ea5,687
ckt1q9gry5zgx72xm83ukkjp28eg2h96l5qspats5u4php2ecd,3552477056508,0xaac208276042ff752b1af7742cac599cdb247c7662caa6a2929255eaca6b189b,687
ckt1q9gry5zgvm59tjcmmcvkn2lmuqgfzcgfg3ccnvyk3nej2k,3478499892363,0x5feb6df65e4519197b304f4bd5a0b49475ea1248c371553d752346b5a1310070,672
ckt1q9gry5zg5a80nvswqa0srd3zuxxllc2qzxlmt3cwytufne,3207268753355,0x6535735229be627fc611467b5403712fdea5e6d3f9e0127c3f954942a42b5cb5,620
ckt1q9gry5zghwtcn72spc9wtz4sq7qgvdyqxv90syxcpgky49,3172693368166,0x889105f8376ad50516fd9d8c38c7477849846e15829aae3a910a8c8d332fa467,613
ckt1q9gry5zgughh7wzcxzn4u59t0lzl6np4ky60r6ztpw69rl,3028266222970,0xba2e8c0c8c39a58a606d1e1ca668c60f4b5289f3a02b23920b6762afde6b45c1,585
ckt1q9gry5zgzq0j490guyhlj3gfhdp9dldf24zr7ad5g6ul07,2978938915939,0xb44597d71017434af602ef1e554312ee1cb367c3689703ec38d539072ef433eb,576
ckt1q9gry5zg2hgl3caa7gfgytjpgegdx52dserje5kvkvkkqq,2874483932815,0x5fe86afbfed749c6775f9ad9ed28d755cc6e125b461a262e0662ca0cd3383a38,555
ckt1q9gry5zgxkwxkq33h5csqyls66p87tqaulghzsqg87g2xe,2859718058654,0x223a351dec525a6abe43f8aedde1e9f7dc8d1d57906e38798885ab86b3060190,553
ckt1q9gry5zgnyztg84lcujx8mfzce35520tgrl3xl78lkscz7,2664091501579,0x4f7e81428e6f681b810dfe9f85da65bb41c4bb6a924949bd5af450eb82d54649,515
ckt1q9gry5zgjl7rgssl4aaklh2szhy0rktwuhyls9wz5qqc0v,2589655926280,0x52e58e1494883c1ae545018d89711165ec25690fa6a137461e700207af0a2928,500
ckt1q9gry5zgq7falzslfj5sylm76znkl8qt9lmn6lasyz6a0j,2535842864305,0x663a110bc2f24e9519327581b70604eeb1147da1e8a9c0ae72fadecfbd6d6680,490
ckt1q9gry5zgv5hkzwvjdqzfdkgjkmylad22hct3lcdf44ug4m,2441650001530,0x9895024abb23ea230b6783670bacb2915abf3bcb3e0ee45804e4f98f15056d79,472
ckt1q9gry5zgq8dg47hph9wpzgj5k0s48tg5fvmngv6g7r9zaj,2430624824453,0xc93430a09cddd5f0fedff7107dfaae5ee92622c751936bcd86fe1a8e59ecd9fb,470
ckt1q9gry5zghue08rar3may5mwg9e36k22ez3rkx34j0f72wp,2329149114085,0xce7d0448bb4b6ca6ddf69f3c47ccac464716e18596022a623b9fedbc7d2de954,450
ckt1q9gry5zganlczss9cc27rjg3c3d9qd9yafqlzdvry4v9tl,2285249193288,0x088a90584fbe6304a8083f772cc18956b5b87122b2d697f17c3ddd4d7220fab1,442
NULL,2221891746244,0xac71d52d9c1c693a4136513d7c62b0a6441b14ced02518650fe673dfcb6c016c,429
ckt1q9gry5zgqvkxrdwjqg0lslnsequzs2mued6w7tw9x8ak2l,2168920072751,0xa99d8781e242b60b1ee371ac53977328b334a1192dfe91afd58a264eefcc42b0,419
ckt1q9gry5zgh6epqh97pwmxgdmur80e0dcx476x6lrma0v7ry,2013927367552,0x2d57e18ae331e5dbf196ea2e3dd85564be4b094e513a7a6e814beb17c537a63f,389
ckt1q9gry5zghzq3993kagwxlrtrayfngrvpz3y6ysslkd28nn,1980302318948,0xa61cf2b5993436a3825caca54c9788bc84914b91713a8fa0af49179a66a4ff9a,383
ckt1q9gry5zg2zhtq3h094yf5xv67amwjxl6punhfqn6gw5dhj,1957195585340,0x19dac58ef893f81d7ef26951107d37bd2a98119ecd83373bcc500b7cf7f6aee5,378
ckt1q9gry5zgjwkzfllt2sev70v8punm09sn6nthdnzctxvkcw,1953236623108,0x7e3888831ea903b71afaa9f102abb7cee6fb8bb7f62b5c7f28ba4f95ad10e2cd,377
ckt1q9gry5zgjld95nzvsjcyyza09ff702ewkjwh2e4hf5d6lt,1776309454784,0xb441a393f4d00e329b2e7698b7c951df697887e71d5ee0032ebfe22e4aede371,343
ckt1q9gry5zgmctz76zahu3n2xt0dun66tgkymfe6nzny33d29,1716882707433,0x6bec15f4a3a196188d800815fbee3430a98b3e7f9374881b7c23327f1374df34,332
ckt1q9gry5zgmhcvcgsrf8kjljxy0333xlsgp7yu4a87hvea4s,1646146785743,0x58dcd79bec1777cf6855fd2afb1df2dbfa8d1ecfd0fd7be7e7aad0eaaeab83a0,318
ckt1q9gry5zg6jj6qard6ehpyspjza0dj6s4xwfdq5uavz8d7m,1626530898440,0x9ddf6060ab4f746f8c43fc50871eb84e5222b19b3a8f90b49cb7aa03c4bea91f,314
ckt1q9gry5zgu6ltlyee2jek564s64m56p0t7xvpsq2e8cf4j3,1608750151896,0x9556b305285140a8360c15102f620c6a492dd84e97df7d89b0b7490b4528388a,311
ckt1q9gry5zgr546kyd8ndcrfjrd2gznk03eakamlm59vkalvv,1605518472092,0xd9e723bb44f79278e24cc230ceb32f00b2e4e919939fad68577e0b64f014cd2e,310
ckt1q9gry5zg7m8xxr357swkvutdp06mvxtjm0k7r58kdg2yar,1588974985610,0xceb15daa53045099a9efb3e72249f1bebcd870fa83d9871aa3e94c32893214f6,307
ckt1q9gry5zgcph407k8z9k2xl2vgjv5t57e4g5v0ua7r7tak7,1568126353427,0x4630f953619a6d6be1ccdc83f82f9a6d6cc2a9cc1d773821e244c76486cc1262,303
ckt1q9gry5zgnajuc5vwmfegp2jxesf46pj7c8dhl7tzy05vke,1504537868656,0x4179070f32af370e9792085554e62380f95a7eaa69c5af3016ea616e66fe9547,291
ckt1q9gry5zg0ldc4c8pphamasujfe4ycuj7epr4d2aszx8tp8,1502667520482,0x6bfa5b544553e8bd489a52890d7dacb9ccdb7df59169d8ba7f9bb5b7d631372e,290
ckt1q9gry5zgrpfcdg3a5p6lrr7ua09cr9qfj7jwxg0vdn7agg,1497805703987,0xef68f44d5d1b923568d19e8bfbcf12c537bdc28318e13b0e1ac293c63555415e,289
ckt1q9gry5zgf68rlcueh060rvrcat0h6uv0aca87xudt3qtvc,1433905858954,0x9ac78b447c26331691e65ba03ed07e302ae9e3ca2ee47333b377f4154e41a645,277
ckt1q9gry5zgt4lnns0hnmmyfzz0sdkmxy6px8hh9hepf28lqv,1424656456301,0x1d4bb068e0ba18e8e410dd60c7ae899323bf9b443dc9cf9d24ebcd322257c083,275
ckt1q9gry5zgf5lfvkp9z8uufzpztymyfz8y0rrpwxy5vmdkad,1411667074809,0x633e21864b354f7cc2a0c53ac333933552578f5787c9891f8610e93d1cb53f65,273
ckt1q9gry5zgz7qtspmeufpzs74y22aldvzf2wyu6czvnd6jw4,1400000000000,0x95eb4bb6223a153d6f4b10ee08086e85e215e0aa3080859ece670c4eef4b3764,270
ckt1q9gry5zg2fawluc6ztpwnj4n7pd0vfqsrevwu5fjljr2tg,1355555555556,0xcfa72e7ef0ddca5689f92d923f41b19f81a2af1d42cb9039590d7ae536a7cc55,262
ckt1q9gry5zga4udctxm33d4cgrn4tllw80lyuw2fx7ut8nuv8,1300026462260,0x2d12b2b8086b1ac797b1ae063cb693fd3dffe1c0489ea51388caf31c9d808a72,251
ckt1q9gry5zgg5sdlst93h4c8ernjehwuh6huxrc0pvnr6q4sw,1263156811626,0xbbba716869bb03b6fa0fa03f140c3cee4785313c66ef9c36c5cdc62665c2da25,244
ckt1q9gry5zgq5yrqwsagekzrldpjehdrach7nfhe4hxqkp83d,1238293622409,0x60d363d3b5d7d3ec5b3435ace7c199a15e044403021935b7321a6dc4c432f119,239
ckt1q9gry5zgkqvl8eqkk3wkfyex6e2heurd0fsgvh8a6a03qf,1156962917175,0x37b1b6f22455fa32fd32af500c5be189aa3744e2549eb8d8f47228ecbbec3d1f,223
ckt1q9gry5zgt8s5aurjauv3hnaql69u0fqfl9ddy4sx0znkkr,1117524763092,0xe1f2eb8802e2234c013c088fcb7ea89f07cef8e5332cfac1beacd9ce58260698,216
ckt1q9gry5zg670cry2rnf72u7lvgrf5dcg6yhrvp89f58g6eg,1074329757330,0xfd9fb1c00e80b7a6ebdfd7889b3ea502bac8f0eb45b36bdec34fd6a7f0851949,207
ckt1q9gry5zgseq57pf8ul4smflpuydt3r9h36gg27f6t2wj03,967491825617,0x2b4ace15f00046011069c21511c0541d1be48b2c04fa815e627d2ce156299d9a,187
ckt1q9gry5zgk6krj47durr3ny6murueqn9pa4x9upum8wzt4f,914412706646,0xbf9040637ab7e369bac50ffb7fa17b2f9f7c2cbe9c1a6e7c00f6e5becae43879,176
ckt1q9gry5zg9gr6qf83l0pnv6fvjft22vpuwv4gqzud9tmlzz,899118274097,0x59092071148350837790268077b94548cddaa6204c8dab3309d2284356c121fd,173
ckt1q9gry5zgyy7w2nd5c9e8g02cuz2x5k3zcztgcyhr45dmx3,896169052405,0xa736f6057a58de260ead840f85e712f2a5e9bf8039ead3c29d3bd1853638de20,173
ckt1q9gry5zgnqmmhseqv4vpx4e8wvkdfzuxvlfvv50rwceg2v,895579747617,0x14a4e9e0a630856ce5196f13bbca4fb8144e37daf171547c095e82de133b1ed0,173
ckt1q9gry5zg25qnuev5ew4upkz65u9csgp4636rf36wvqeqax,837233071700,0xfb9e6570bd41b24a097331f0d7e2561a03679289ff9191b4c0b2638887552288,161
ckt1q9gry5zggrju0dulcg6mv0wu0zmx37prkdpld4p49t6r0f,791598564581,0x53fd46968088447d8c64c1ac9a2209481e45adaccf8322244016ee8e1d3c822b,153
ckt1q9gry5zgz59jhxx7v53v7pwkrfzhq22x5s4epwetw58e6w,772168400319,0x3152755f6ccaf3e5f9e489ce879fe82f66b52b3590fb86952cd247619b59ec24,149
ckt1q9gry5zgx7ktlmumaktz404ehxrfar7f7q8jnrl7sekg25,747503129176,0x78cef240ebe607844f251c661b18aa4c95fe19e8ed89f8503b885b6fd545f373,144
ckt1q9gry5zg72m2djyhfvl3397myexa8dqnaa6005yzx8n9nx,723298462513,0x5218c261213e0456aa87733557e3ad6d74f09429f68857d0bc788e5ad371954e,139
ckt1q9gry5zgpees4s34nhgv9mz6xzajn2fuwxvwjpu4gljd2n,711409683927,0x111b563973360c048ba0066f4806142f7cca0463d8390119dd4fda436e7e0d14,137
ckt1q9gry5zgl3vqm3c3hu6gplftr7xg67r5ja8x8unn5ds02e,665771899583,0xd219d3d15fc5915285e6c180ee040d365da6f75d99d1c52433dabda221b545f6,128
ckt1q9gry5zg3uad8lljrgwg5nm4kefv3wh8fltjwdmch5p4dx,657436711968,0x752d899db05988d445b6dcf12763d0f13c63c59083c6109cf08bd437caec66a5,127
ckt1q9gry5zgqav5j9t9rm03kykpvtm5yyf0el6fh7w8unz0qz,653539054740,0x92ff866550088773687b1d96392e5e43ee0d112e51eeb2680c5942c7a61a06a3,126
ckt1q9gry5zgt5dw59zvz3037aatrfnvtpz7aexyf590ehenq0,646873917957,0x2ad9ee50fdd947a1aa70ebe6504377912427ade3a9dabba3810b068bbac0cb39,125
ckt1q9gry5zg6upm6y8vxhtnfqev48ewjvrgtf0ftz6j8rglhc,628964821222,0x16e4800888d75320aedb74a9cdf3e8e5b9831bd0cdac8410856441b616b8a152,121
ckt1q9gry5zggx9vgjz68klgygfjrvjfvvw0sjgmx8737wxl3u,608333333332,0xa4c2b8c1a39289f1fae9e4f4656be94994128381e184d7533edf7e7f3f0e1a4e,117
ckt1q9gry5zg625ruj65gr2tk4qq54y9ekwaankuppum6jaejt,601574652745,0x3e40e2877df617e1af56d8e3984397250fe903f808bd63d2f689ac6d68e2eb37,116
ckt1q9gry5zggttluughcuft9r3505yg2c7w9v36twa5auwa2d,596083053754,0x8f8212dbf6c1b85b4703a4ea851f2fa376c9cc71f7218ff15bfac4c45adbf89c,115
ckt1q9gry5zg09mvd02cyzgntjqdunelsqydqqnfz3k2chu5lm,589057431099,0x1205c456d6bb9cb96a6269cb6f7373118c6e190ef971eb3291fade1f638eda8d,113
ckt1q9gry5zgghntgdvyjm9ucsjtnz8867f4w3fh2mh20l4tgp,575301891091,0x80c77d2657bb60d238804812305d5bef19f7a351f4ae91e7fae161dc398fe4ec,111
ckt1q9gry5zg95w42h05rnvm50g0x8c2rt9reu0zjkhltdzxlsz47hacdwv77jds9waehx,568829747714,0x454143f962f873bbc78dd33f448f5f0ed4585067880f397bfd6e3a55db0308e2,110
ckt1q9gry5zgp5mdxkxukrf3gndrejzlf7yk8lhcan60wpwf2f,555555555556,0x52cf2e90a3dc1af9865c0bc4121d67c614b433d139bc5e4c48b513d8e78142a8,107
ckt1q9gry5zgq30t344e9tha0n3plqt3uw0v3egmxfqg4q7g6g,547439732488,0x181dc798321e4d06bc143bc9b7727287a0f91f2efd5eafcadc26ccfee82149e3,105
ckt1q9gry5zg3u0asced0avdchj7x5jazmpas3ldl0hupa7stt,546594982079,0x151e9073716b5a36d3b5e185a73a9be0b995c0a16cdf32bed75e84b613f43c86,105
ckt1q9gry5zg48k38t5s979nazq58nflr3yacut7znest9vqtv,521518640352,0x0b0f305198add04aac23a91aabb9d01ce1789f82b306a78b8ed1f72d5f5ea6cf,100
ckt1q9gry5zgauhm60kvsr62x8l4vf558at6t3l7gdp9ykllgn,520909928283,0x03f7add68b7412a6cf3efc1702bc7a34e80c85eecb52d23fb7781bb5c33b76ca,100
ckt1q9gry5zg0k25vm3s943yhqy2qfgewzyxrph79dudm09p62,512532972353,0xe32777f6d025e1c6708f15d625c333760c5a5c9fd34380d9145340da5a919d41,99
ckt1q9gry5zgkk38u6cp6vy3xkcxpzwwry4zvl82m282t5lnll,508333333333,0xe0009e37f18380f057720063081ae40e8de401157d0c353f9747c47da4b5ab03,98
ckt1q9gry5zg3fdr6vl5l6355nr7j29m5nz2nul7tgupl4t6zn,502729648606,0xe5acff0d097f1c033e9f04b89325f6e3f81c26146cbc02908b74bb13c8ec686e,97
ckt1q9gry5zgy3qpyuz25ae5pjtkj5sueevaakk2yp76n8ukq2,484578638456,0x5a22d68b1daaba8cd64d8f32b0cb90d9b4af3efa9d3262d8508a724d5b76db5d,93
ckt1q9gry5zge4kjwpkpp8ryragmd0rewt46mcvrpy4262ng0y,477777777779,0xf1f1e75cb5b40dbf86b85f09e2e249ab2bf1905f3064b05733a14deadc8214ab,92
ckt1q9gry5zgcddh7nr28he6xcq5rskzxk7tqj4lxed4qqp4a4,468683804054,0x112f4774c0b96ec8a2e00d773e5c9d47f6d57496d53a70cf2d347e9e09fa6afc,90
ckt1q9gry5zgeyjwcyyknvq2ues4g7t7dz0y5psax8ds3kk6k4,451234616079,0x9f2fe1dd86cffc140e4548711bb353f56f8728542037d76b0ede20105b3fad52,87
ckt1q9gry5zgk5eqkj0pc9cc8p254s2aq6hu20cdyj9ng609fy,445962107904,0xb5108a4488c0af1e639919b22e86c16bf51e6220f691c80d3c8d01fc117fb303,86
ckt1q9gry5zgtsc73dcx785hsy3rp3zhm3snszvlnhh5j9xjhv,437668244686,0xa6c76d77ba72919096c99b7af23ed2cca67876686ea99609a9681c30e61de8cb,84
NULL,423640193986,0x7d83ff79c02fac6cf7d79a64c4d29e0d4c1d2f28d5d68d81c6a2c9a8a6bcb85b,81
ckt1q9gry5zgfxr7h94dhqlp8ldk90asm2xeq73rfv9z948cjp,416666666668,0x10e7289fbbce4cd267ebd35663d26a939869f1d29c5fcbc471528433af6dabe9,80
ckt1q9gry5zg53yq3zurf0neemh8q6trgm736kh3uqw0gh34x3,416666666666,0x7ca4abb4d1e1f22db38da1c4e31f7de86875d1b012041f1978b0172be30bb85e,80
ckt1q9gry5zgcdpgrsjd37ca7pj8xmj2km8xjxnhl5cl23cw56,416469238749,0x831b5c8bc5f370379e2ccbfe5e0bd4e4965bda7f376e30ca00af707f34277783,80
ckt1q9gry5zgjkla6uxrwa6f9ewtvmqapukxp400nwk6lj8y7f,413230379297,0x8dd1a6785493ba2560c983ce6fa96506ee356da79da074385c75884a2bc18770,79
ckt1q9gry5zg78x6v2uel4kwauuqjj22mxl9fkfv27hg884p0z,405397822916,0xdabaa0ede57138708211fecbc0b7ecdf88138dacd5158a33744c09650fe205cb,78